Geneid	2: Oocyte 1: accepted_hits	3: Oocyte 2: accepted_hits	4: Pronuclei 1: accepted_hits	5: pronuclei 2: accepted_hits	6: Pronuclei 3: accepted_hits
NM_001195025	0	0	0	0	0
NM_028778	0	0	0	0	0
NM_001290393	0	0	0	0	0
NM_008922	3133	2276	2288	2659	820
NM_175370	4	22	7	16	9
NM_001290390	0	0	0	0	0
NM_175642	977	1711	1013	459	430
NM_001290392	0	0	0	0	0
NM_027671	0	0	0	0	0
NM_178884	0	0	0	2	3
NM_199021	332	413	1436	836	1018
NM_198680	0	0	0	0	0
NM_011465	0	4	0	0	0
NM_130890	0	0	0	0	0
NM_001113393	0	0	0	0	0
NM_001113392	0	0	0	0	0
NM_001113391	19	3	88	15	31
NM_031162	0	0	0	0	0
NR_103716	0	0	0	0	0
NM_001160371	0	0	0	0	0
NM_177834	1	3	2	0	1
NM_145381	606	445	367	306	259
NM_177173	0	0	0	0	0
NM_001160369	0	0	0	0	0
NM_001160370	2	21	9	8	25
NM_001289497	0	0	0	0	0
NM_027974	0	0	6	7	8
NM_133235	74	23	0	2	29
NM_028096	77	87	2	0	17
NM_201365	1	0	0	0	0
NM_001126046	0	0	0	0	0
NM_001081198	31	2	144	25	50
NM_001160386	890	1574	1226	622	737
NM_009418	456	459	774	531	484
NM_001114663	369	291	353	202	300
NM_001252070	346	629	463	324	296
NR_045151	0	0	0	0	0
NM_001081050	93	63	35	62	68
NM_007642	0	0	0	0	0
NM_025728	0	0	0	0	0
NM_029160	0	0	0	0	0
NM_175210	290	213	346	233	206
NM_010154	31	0	23	0	28
NM_175291	0	0	0	0	0
NM_010472	265	93	1666	1033	1618
NM_023314	0	0	20	2	3
NM_027456	0	0	0	0	0
NM_030184	5	2	11	0	9
NM_009183	0	0	0	0	0
NM_011066	40	82	12	50	12
NM_145519	32	39	140	102	139
NM_173760	8045	15205	6907	4043	3535
NM_172851	0	0	0	0	0
NM_019933	125	2	54	107	23
NM_176957	0	0	0	0	0
NM_001081756	0	0	0	0	0
NM_181750	1448	678	1651	1708	1403
NM_019777	0	0	0	9	8
NM_172484	0	0	0	0	0
NM_028320	46	99	70	203	193
NM_021605	790	624	949	1111	656
NM_173437	1290	1660	1131	1056	1119
NM_001287179	2333	1539	2559	1970	1893
NM_175443	0	0	0	0	0
NM_007495	0	0	0	0	0
NM_022312	0	0	0	0	0
NM_001081290	3128	1917	1875	1574	1278
NM_013862	79	46	236	144	82
NM_001205204	0	0	0	0	0
NM_001159525	0	0	0	0	0
NM_023041	1	2	2	0	8
NM_022563	464	125	427	414	431
NM_011880	0	0	0	0	0
NM_026626	31	7	0	0	4
NM_001199003	0	0	0	0	0
NM_027188	248	307	359	185	728
NM_001243792	0	0	1	0	0
NM_133684	2924	5872	2392	2087	1746
NM_001011874	88	39	28	13	0
NM_001159750	0	0	0	0	0
NM_001159751	3	0	0	0	0
NM_001195662	0	0	1	0	0
NM_001177795	0	0	0	0	0
NM_133826	2265	3916	2743	1710	1934
NM_011541	0	0	0	0	0
NM_021374	0	0	0	0	0
NM_001290372	0	0	0	0	0
NM_001244693	0	0	0	0	0
NM_001244692	0	0	0	0	0
NR_045189	0	0	0	0	0
NR_045188	0	0	0	0	0
NM_173868	0	0	0	0	0
NR_015470	62	92	217	159	174
NM_133220	0	0	0	0	0
NM_145692	2	12	6	16	0
NM_026493	37	93	10	3	90
NR_110971	0	0	0	0	0
NM_177547	0	0	0	0	0
NM_029525	0	0	0	0	6
NM_001033636	11	24	11	13	12
NM_001077695	0	0	0	0	0
NM_001302702	0	0	0	0	0
NM_001081209	0	4	2	5	8
NM_172841	76	91	564	193	377
NM_172294	0	0	0	0	0
NM_001198565	0	0	0	0	0
NM_001198566	0	0	0	0	0
NM_008678	2	5	1	7	7
NM_010164	12	17	10	4	26
NM_001252192	0	0	0	0	0
NM_001098528	62	77	55	15	31
NM_025303	4	1	6	3	2
NM_133832	7337	7347	4876	3469	4358
NM_001033288	15	88	8	31	4
NM_001111272	0	0	0	0	0
NM_026456	1919	1737	2756	2292	2722
NM_020604	35	18	27	0	33
NR_130314	7	11	1	5	7
NM_153154	8	2	18	2	2
NM_153179	30	115	130	253	155
NM_001077353	0	0	0	0	0
NM_001288617	0	0	0	0	0
NM_010356	0	0	0	0	0
NM_023872	0	0	0	0	0
NM_001160139	0	0	0	0	0
NM_183018	0	0	0	0	0
NM_001012623	0	0	0	0	0
NM_053270	0	0	0	0	0
NM_001012624	0	0	0	0	0
NM_001012625	0	0	0	0	0
NR_110972	0	0	0	0	0
NM_028534	22	19	21	15	16
NM_001290683	0	0	0	0	0
NM_007733	111	240	280	157	390
NM_007740	0	0	0	0	0
NM_026719	1136	919	514	473	354
NM_001290691	0	0	0	0	0
NM_001033764	0	0	0	0	0
NM_001013750	0	0	0	0	0
NM_177235	43	87	42	31	10
NM_133833	0	0	0	0	0
NM_134448	0	0	0	0	0
NM_001276764	7	41	28	12	14
NM_183019	9	7	2	0	4
NM_001277076	12	11	68	30	171
NM_001039551	0	0	0	0	0
NM_053186	0	0	0	0	0
NM_198006	817	569	1015	716	250
NM_001289766	0	0	0	0	0
NM_009539	0	0	0	0	0
NM_018872	3195	3604	2254	2124	1074
NM_001289765	0	0	0	0	0
NM_001290721	0	0	0	0	0
NM_001290814	15	15	332	276	280
NM_019570	822	1362	545	366	406
NM_027111	0	0	0	0	0
NM_207228	0	0	0	0	4
NM_001290720	2	0	0	0	0
NR_110976	31	66	36	36	38
NM_008719	579	318	349	375	471
NM_018775	9019	9109	10143	8198	4718
NM_145142	90	126	9	50	74
NM_001123382	0	0	0	0	0
NM_001252202	0	0	0	0	0
NM_001252200	0	0	0	0	0
NM_001294171	0	0	0	0	0
NM_001252201	1	1	0	8	4
NM_008696	0	0	0	0	0
NM_008362	0	0	0	1	1
NM_010743	0	0	0	0	0
NM_001025602	0	0	0	0	0
NM_001033289	0	2	2	0	0
NR_027826	0	0	13	7	0
NM_010879	0	2	0	5	8
NM_001013025	1593	1163	2602	2065	1707
NM_023645	1984	2457	999	754	521
NM_028450	191	153	89	42	62
NM_007737	0	0	0	0	0
NM_028599	2428	2232	2519	1471	1420
NM_019790	35	253	105	32	91
NM_010863	0	0	0	0	0
NM_001290982	0	0	0	0	0
NM_001161817	0	0	0	0	0
NM_001142647	0	0	0	0	0
NM_153556	495	220	503	449	460
NM_146108	0	4	0	4	0
NR_024590	0	0	0	0	0
NM_030025	25	24	53	2	27
